Superpixel,Sigma
0,0.4053791418243345
1,5.88813609203369
2,1.226631344581736
3,1.452229274200958
4,0.59595137869191
5,0.43848431408642874
6,0.6238095913996267
7,0.9470200136761165
8,2.2989841764555154
9,1.325649755814337
10,0.5989807122030445
11,0.5658755399409562
12,1.7574015825778948
13,5.002376568881092
14,3.515556594649549
15,3.338666828788231
16,6.242298054186107
17,1.1474919585450476
18,0.5846457521152283
19,1.800783177588227
20,3.5140127889068946
21,0.60503937922535
22,1.083796345617787
23,3.0475906529195687
24,1.361863870780765
25,1.8528177804109598
26,4.5358748237005875
27,1.472702510504247
28,1.3504786350109086
29,2.2822140939639532
30,1.6441278204506613
31,2.185254090388241
32,1.0600762794428251
33,1.0065774800706215
34,3.8734956041239634
35,1.2157024327519494
36,0.8212522027574125
37,0.5454819128308449
38,0.5559758319396009
39,0.5785870850929394
40,1.6309812825776333
41,0.7429245241886325
42,1.9238187605494705
43,2.832725469988653
44,1.8104071112549072
45,0.8107582836486618
46,0.904232629773181
47,1.4260740856222451
48,1.5647709380534505
49,0.4445429811087241
50,0.49804178048092956
51,0.4693718603052987
52,0.7263719380575889
53,1.364813595098734
54,0.430208021020907
55,1.6568393656026406
56,23.642670943975407
57,0.3954794338229736
58,22.432867959859376
59,0.3684329285831667
60,1.2001790504493421
61,1.1615298130791674
62,1.5065397810410779
63,22.557055018280305
64,2.4271075005847877
65,2.223012011097311
66,2.665634471716489
67,1.3366582768373096
68,0.9983011870050866
69,0.3706505546264052
70,0.3458216754298236
71,0.21621282353206728
72,23.71586821893813
73,1.3781193513581103
74,1.67612417969115
75,23.602000245703504
76,1.3796631571007687
77,0.9354172815457446
78,19.167303181304582
79,0.6185626318452503
80,0.8151935357351253
81,1.7644311754544628
82,20.940111590236782
83,1.252271931246235
84,23.884974962429112
85,1.4748405273543004
86,2.344344569929543
87,0.7814941523656246
88,2.2163591329676176
89,1.1706974228057925
90,1.6711743256904708
91,3.6193073635222963
92,1.453338087222577
93,2.3349594638424085
