Superpixel,Sigma
0,0.06177509243773246
1,0.14616143802881132
2,0.5515405798531375
3,0.6287594454003034
4,0.024828879196567465
5,3.898556427243365e-31
6,1.7440375483443553
7,0.15443773109433395
8,0.2961639170366852
9,2.9850621309880743
10,0.17704898424767465
11,3.898556427243365e-31
12,0.06177509243773321
13,2.496941389727521
14,0.7104135630339448
15,0.26032651681714464
16,0.36843292858317217
17,3.898556427243365e-31
18,0.053498799372204496
19,1.290624063062701
20,1.5614444989886067
21,1.9166512805055724
22,0.02866992017563816
23,0.13788514496328172
24,0.04522250630668278
25,3.898556427243365e-31
26,0.1853252773131997
27,1.8439259450190224
28,2.251979036826642
29,2.0297075462722707
30,0.3518803424521257
31,3.898556427243365e-31
32,3.898556427243365e-31
33,0.07005138550325919
34,1.762510654964932
35,0.1461614380288063
36,2.1193822303193263e-15
37,2.507355699643098
38,1.7583725084321695
39,1.3874248482520695
40,0.15222010505110417
41,3.898556427243365e-31
42,2.358976635571068
43,0.06783375946003424
44,9.746391068108412e-31
45,0.030887546218867745
46,0.29949035610153124
47,3.1654734506377636e-15
48,12.731568490809023
49,0.08741567910223323
50,13.685437547756313
51,12.481141681993238
52,11.35806494114275
53,11.390554571078425
54,12.406532772772294
55,16.816284402026337
56,11.716873936059239
57,10.911399558720083
58,16.80166795192092
59,11.261003997154818
60,10.916566909081292
61,11.023782004186225
62,11.501297986072615
63,11.979020032953704
64,24.333958911307207
65,18.4638026551989
66,13.581708110102584
67,10.389855208424718
68,10.948207884793904
69,13.233886304990046
70,12.046838176877623
71,10.970659919560894
72,10.39179706013327
73,10.453948867317882
74,10.650500162014572
