Superpixel,Sigma
0,0.12355018487546515
1,0.6351152179762968
2,0.5123767405687534
3,0.6464208445529699
4,0.7407068981454024
5,0.9409613466538197
6,0.6789318057076681
7,0.8634453755529564
8,0.2757702899265661
9,0.10315655776535591
10,0.34360404938659866
11,0.24710036975092567
12,6.207526833342614e-15
13,1.163489909827572e-15
14,0.314934129210962
15,0.32099279623326077
16,0.9365260945673639
17,2.26011744272483
18,0.3469304884514428
19,1.0043598540273857
20,0.8769686281728598
21,0.2471003697509305
22,0.0791393860367043
23,1.1113574527718049
24,1.8262062678921962
25,1.3954040357638942
26,0.4528192741742539
27,2.1369226413772138
28,0.32099279623325055
29,1.1080310137069531
30,4.3384322123427905
31,2.0553481329367673
32,0.47321290128436244
33,0.3303779023203917
34,1.4014627027861861
35,0.9748782263838388
36,0.3314867153420101
37,0.34693048845145197
38,0.5785870850929342
39,2.8407842666936616
40,2.0986501187539224
41,1.1648562521440107
42,0.7942056975176098
43,2.5546579448256765
44,1.9558151197899631
45,0.4754305273275887
46,0.545481912830854
47,2.922104332018463
48,0.5145943666119773
49,0.46331319328300036
50,2.312651031925672
51,0.3375453823643059
52,1.132345290989316
53,2.0418248803168706
54,4.025954536754604
55,2.5150591128202495
56,2.37834105885273
57,2.3660062284476315
58,1.0860139716610144
59,1.3920775966990566
60,1.0167742936256812
61,5.426743419240222
62,2.5193934244945075
63,1.6913504564400565
64,2.3745000178736775
65,2.125399518440029
66,2.009313919162168
67,3.3330431544869774
68,2.9044585484019017
69,2.8018962017439457
70,2.774610868924604
71,3.215037034719583
72,2.7840386374497794
73,3.1607478590984837
74,3.4505346723401478
75,2.195986837076529
76,2.7455855652211114
77,3.666153284764817
78,3.397253369328455
79,2.0845539862456457
80,3.0433728971936262
81,2.4954558619590297
82,3.2786317072346454
83,1.4119566218949453
84,3.9778405841041096
85,2.1857686923024473
86,2.5237490673877847
87,2.42415777626682
88,3.9436265988203996
